full_text,emotion
"Saya percaya instansi sedang rposes, tinggal tunggu waktu saja",trust
"Sudah terlalu banyak yang menunggu, saya percaya pasti akan ada pencairan",trust
"Saya percaya instansi sedang proses, tinggal tunggu waktu saja",trust
Saya yakin TUKIN pasti akan dicairkan walau belum sekarang,trust
Saya percaya hak ASN gak akan diabaikan,trust
"Sudah terlalu banyak yang menunggu, saya percaya pasti akan ad apencairan",trust
Saya percaya hak ASN gak akan diabaikan,trust
"Kalau bukan sekarang, pasti sebentar lagi. Tetap percaya",trust
"Walaupun belum turun, saya msaih yakin TUKIN akan direalisasikan",trust
Saya yakin TUKIN apsti akan dicairkan walau belum sekarang,trust
"TUKIN bukan sesuatu yang akan hilang, saya yakin itu",trust
"Rasanya memang lama, tapi saya tetpa yakin TUKIN akan cair",trust
"TUKIN bukan sesuatu yang akan hliang, saya yakin itu",trust
"TUKIN itu hak kita, dan saya percaya akan tetap turun waktunya",trust
"Gak mungkin TUKIN digugurkan, saya tetap optimis",trust
Saya yakin TUKIN pasti akan dicairkan walau belum sekarang,trust
Saya yakin TKUIN pasti akan dicairkan walau belum sekarang,trust
"Pasti ada alasan kuat kenapa belum cair, saya masih percaya prosensya",trust
"Gak mungikn TUKIN digugurkan, saya tetap optimis",trust
Masih percaya sistem akan bekerja dan TUKIN bisa idterima,trust
Saya yakin akan ada kabar baik soal pencairan ini,trust
"Kalau bukan sekarang, pasti sebentar algi. Tetap percaya",trust
Saya masih menaruh kepercayaa nkepada pimpinan soal hak-hak kami,trust
Saya percaya hak ASN gak akan diabaikna,trust
"TUKIN bukan sesuat uyang akan hilang, saya yakin itu",trust
Saya percaya hak ASN gak akand iabaikan,trust
"Pasti ada alasan kuat kenapa belum ciar, saya masih percaya prosesnya",trust
"Saya pecraya instansi sedang proses, tinggal tunggu waktu saja",trust
"TUKIN bukan sesuatuy ang akan hilang, saya yakin itu",trust
Peracya bahwa sistem sedang dibenahi dan TUKIN akan cair tepat waktu,trust
"Pasti ada alasan kuat kenapa belumc air, saya masih percaya prosesnya",trust
"Saya pecraya instansi sedang proses, tinggal tunggu waktu saja",trust
Saya masih menaruh kepercayaan kepada pimpinan soa lhak-hak kami,trust
"Instansi kita punya rekam jejak baik, saya percaya proses ini brejalan",trust
Saya yakin TUKIN pasti akan dicairkan walua belum sekarang,trust
"Saya percaya instansi sedang proses, tinggal tunggu waktu asja",trust
Saya tetap punya harapan dan percaya pada mekanisme pencairan,trust
Saya tetap punya haarpan dan percaya pada mekanisme pencairan,trust
"Instansi kita punya rekam jejak baik, saya percaya proses ini berjalan",trust
"Meski lambat, saya yakin tunjangan itu tetap bakal cair",trust
"Instansi kita punya rekam jejak baik, saay percaya proses ini berjalan",trust
"TUKIN bukan sesuaut yang akan hilang, saya yakin itu",trust
Saya tetap punya harapan danp ercaya pada mekanisme pencairan,trust
Saya tetap punya harapna dan percaya pada mekanisme pencairan,trust
"TUKIN bukan sesuatu yang akan hilang, saya yakin itu",trust
"Saya percaya instansi sedang proses, tinggal tunggu waktu saja",trust
"Rasanya memang lam,a tapi saya tetap yakin TUKIN akan cair",trust
Saya percaya hak ASN gak akan diabaikan,trust
"Pasti ada alasan kuat kenapa belum cair, saya masih percaya prosesnya",trust
"Saya percaya instansi sedang proses, tinggal tunggu waktu saja",trust
Saya percaya ahk ASN gak akan diabaikan,trust
Percaya bahwa ssitem sedang dibenahi dan TUKIN akan cair tepat waktu,trust
"Rasanya memang lama, tapi saya ettap yakin TUKIN akan cair",trust
Saya percaya hak ASN gak akan diabaikna,trust
"Gak mungkin TUKIN digugurkan, saya teta poptimis",trust
"Saya percyaa instansi sedang proses, tinggal tunggu waktu saja",trust
"Rasanya memang lama, tapi saya tetapy akin TUKIN akan cair",trust
Percaya bahwa sistem seadng dibenahi dan TUKIN akan cair tepat waktu,trust
Saya tetap memegang kepercayaan bahwa hak kita akan diberikna,trust
"Sudah terallu banyak yang menunggu, saya percaya pasti akan ada pencairan",trust
Saya yakin akan ada kabar baik soal epncairan ini,trust
Saya tetap punya harapna dan percaya pada mekanisme pencairan,trust
Saya percaya hak ASN gak akand iabaikan,trust
"Gak mungkin TUKIN digugurkan, saya tetap optimis",trust
Saya yakin kaan ada kabar baik soal pencairan ini,trust
"Sudah terlalu banyak yang menunggu, saya percaya pasti akan ada pencairan",trust
"TUKIN bukan essuatu yang akan hilang, saya yakin itu",trust
"Instansi kita punya rekam jejak bai,k saya percaya proses ini berjalan",trust
"TUKIN bukan sesuaut yang akan hilang, saya yakin itu",trust
"TUKIN bukan sesuatu yang akan hilang, saya yakin itu",trust
"Kalau bukan sekarang, pasti sebentar lagi. Tetap percaya",trust
"TUKIN itu hak kita, dan saya percaya akan tetap turun waktunya",trust
"Kalau bukan sekarang, pasti sebentar lagi. Tetap percaya",trust
"Saya precaya instansi sedang proses, tinggal tunggu waktu saja",trust
"TUKIN bukan sesuatu yan gakan hilang, saya yakin itu",trust
Saya yakin akan ada kabar baik soal pencairan ini,trust
"Pasti ada alasan ukat kenapa belum cair, saya masih percaya prosesnya",trust
"Rasanya memang lama, tapi saya ettap yakin TUKIN akan cair",trust
"Pasti ada alasan kuat kenapa belum cair, saya masih percaya prosesnya",trust
Saya tetap memgeang kepercayaan bahwa hak kita akan diberikan,trust
"Saya percaya instansi sedang proses, itnggal tunggu waktu saja",trust
"Pemerintah pasti gak akan ingkar soal hak pegawai, saya masih precaya",trust
Saya yakin TKUIN pasti akan dicairkan walau belum sekarang,trust
Masih pecraya sistem akan bekerja dan TUKIN bisa diterima,trust
Saya tetap punya harapan dan percaya pada mekanisme pencairan,trust
"Gak mungkin TUKIN digugurkan, saya tetap optimis",trust
Masih percaya sistem akan bekerj adan TUKIN bisa diterima,trust
Saya percaya hak ASN ga kakan diabaikan,trust
Saya tetap memegang ekpercayaan bahwa hak kita akan diberikan,trust
Saya yakin TUKIN pasti akan dicairkan walau belmu sekarang,trust
"Kalau bukan skearang, pasti sebentar lagi. Tetap percaya",trust
"Rasanya memang lama, tapi sayat etap yakin TUKIN akan cair",trust
Saya yakin TUKIN pasti akan dicairka nwalau belum sekarang,trust
"Sudah terlalu banyak yang menunggu, sayap ercaya pasti akan ada pencairan",trust
"TUKIN itu hak kita, dan saya percaya akan tetpa turun waktunya",trust
Saya yakin TUKIN pasti akan dicairkan walau belum skearang,trust
Masih percaya sistem akan ebkerja dan TUKIN bisa diterima,trust
"Kalau bukan skearang, pasti sebentar lagi. Tetap percaya",trust
"Rasanya memang lama, tapi saya tetap yakin TUKIN akan cair",trust
Saya percaya hak ASN gak akan diabaikan,trust
Saya masih menaruh kepercayaan kepada pimpinan soal hak-hak kami,trust
"Walaupun belumt urun, saya masih yakin TUKIN akan direalisasikan",trust
"Gak mungkin TUKIN digugurkan, saya tetap optimis",trust
"Pasti ada alasan kuat kenapa belum cair, saya masi hpercaya prosesnya",trust
Saya tetap memegang kepercayaan bahwa hak kita akan diberikan,trust
"Walaupun belum turun, saya masih yakin TUKIN akan diraelisasikan",trust
